Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Fib/1,4.21E-08,4.12E-08,4.30E-08,2.90E-09,2.36E-09,3.63E-09
Fib/2,1.56E-07,1.54E-07,1.59E-07,8.69E-09,7.25E-09,1.09E-08
Fib/3,2.84E-07,2.78E-07,2.90E-07,2.09E-08,1.63E-08,2.73E-08
Fib/4,5.49E-07,5.39E-07,5.60E-07,3.45E-08,2.90E-08,4.26E-08
Fib/5,9.51E-07,9.34E-07,9.71E-07,6.32E-08,5.38E-08,7.47E-08
Fib/6,1.64E-06,1.62E-06,1.67E-06,8.57E-08,6.84E-08,1.20E-07
Fib/7,2.78E-06,2.71E-06,2.92E-06,3.37E-07,2.21E-07,4.97E-07
Fib/8,4.54E-06,4.46E-06,4.62E-06,2.77E-07,2.32E-07,3.31E-07
Fib/9,7.30E-06,7.18E-06,7.41E-06,3.77E-07,3.19E-07,4.51E-07
Fib/10,1.21E-05,1.19E-05,1.22E-05,5.53E-07,4.71E-07,6.77E-07
Fib/11,1.95E-05,1.92E-05,1.98E-05,1.02E-06,8.33E-07,1.24E-06
Fib/12,3.09E-05,3.02E-05,3.17E-05,2.54E-06,2.24E-06,3.28E-06
Fib/13,5.12E-05,5.00E-05,5.21E-05,3.37E-06,2.91E-06,4.06E-06
Fib/14,8.29E-05,8.13E-05,8.45E-05,5.54E-06,4.75E-06,6.32E-06
Fib/15,1.29E-04,1.26E-04,1.32E-04,9.68E-06,8.15E-06,1.16E-05
Fib/16,2.16E-04,2.13E-04,2.20E-04,1.31E-05,9.73E-06,2.14E-05
Fib/17,3.30E-04,3.24E-04,3.39E-04,2.43E-05,1.89E-05,3.28E-05
Fib/18,5.68E-04,5.58E-04,5.80E-04,3.68E-05,3.17E-05,4.30E-05
Fib/19,8.67E-04,8.52E-04,8.84E-04,5.04E-05,4.09E-05,6.40E-05
Fib/20,1.50E-03,1.48E-03,1.52E-03,6.55E-05,5.36E-05,8.13E-05
Fib/21,2.38E-03,2.34E-03,2.43E-03,1.41E-04,1.18E-04,1.74E-04
Fib/22,3.71E-03,3.65E-03,3.78E-03,2.01E-04,1.68E-04,2.49E-04
Fib/23,5.98E-03,5.88E-03,6.11E-03,3.29E-04,2.59E-04,3.98E-04
Fib/24,1.03E-02,1.02E-02,1.04E-02,3.16E-04,2.46E-04,4.45E-04
Fib/25,1.62E-02,1.59E-02,1.66E-02,8.59E-04,6.87E-04,1.09E-03
Fib/26,2.55E-02,2.51E-02,2.61E-02,1.09E-03,7.78E-04,1.70E-03
Fib/27,4.09E-02,4.06E-02,4.13E-02,7.22E-04,5.88E-04,8.89E-04
Fib/28,6.43E-02,6.35E-02,6.50E-02,1.29E-03,9.39E-04,1.67E-03
Fib/29,0.104226434,0.103225552,0.105666266,1.84E-03,1.16E-03,2.66E-03
Fib/30,0.177702159,0.17207907,0.182775448,7.30E-03,5.55E-03,8.95E-03
Fib/31,0.287720478,0.280694205,0.292175782,7.32E-03,3.77E-03,1.03E-02
Fib/32,0.472053265,0.463189091,0.477294959,8.05E-03,0,9.08E-03
Fib/33,0.749918988,0.734106439,0.76088629,1.65E-02,0,1.90E-02
Fib/34,1.17246287,1.147261692,1.187725692,2.32E-02,0,2.64E-02
Fib/35,1.977544605,1.923208875,2.009142235,4.89E-02,0,5.47E-02